"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-06-01T17:09:01.366+01:00","0.0","0.1"
"First serenity test","Get all students","SUCCESS","2019-06-01T17:08:48.854+01:00","0.0","0.15"
"Student CURD test","This test will create a new student","SUCCESS","2019-06-01T17:08:58.919+01:00","0.0","0.8"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-06-01T17:08:38.359+01:00","0.0","10.33"
"Student CURD test","Update the user information and verify the updated information","SUCCESS","2019-06-01T17:09:01.142+01:00","0.0","0.22"
"Student CURD test","Verify if the student was added to the application","SUCCESS","2019-06-01T17:08:59.724+01:00","0.0","1.41"
