"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-06-08T14:41:34.030+01:00","0.0","0.24"
"Student CURD test","This test will create a new student","SUCCESS","2019-06-08T14:41:32.218+01:00","0.0","0.66"
"Student CURD test","Update the user information and verify the updated information","SUCCESS","2019-06-08T14:41:33.733+01:00","0.0","0.28"
"Student CURD test","Verify if the student was added to the application","SUCCESS","2019-06-08T14:41:32.880+01:00","0.0","0.85"
