"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-06-01T17:09:01.366+01:00","0.0","0.1"
"Student CURD test","This test will create a new student","SUCCESS","2019-06-01T17:08:58.919+01:00","0.0","0.8"
"Student CURD test","Update the user information and verify the updated information","SUCCESS","2019-06-01T17:09:01.142+01:00","0.0","0.22"
"Student CURD test","Verify if the student was added to the application","SUCCESS","2019-06-01T17:08:59.724+01:00","0.0","1.41"
